county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/12/20,-1934,-1199,-704,-464,-158
Queens County NY,36081,04/12/20,-2665,-1420,-985,-645,-418
New York County NY,36061,04/12/20,15,580,903,1229,1579
Bronx County NY,36005,04/12/20,-720,-271,-114,39,179
Richmond County NY,36085,04/12/20,-257,-88,-6,46,99
Westchester County NY,36119,04/12/20,-1246,-660,-426,-231,-22
Bergen County NJ,34003,04/12/20,-374,-144,-1,95,214
Hudson County NJ,34017,04/12/20,-106,-35,-4,33,69
Passaic County NJ,34031,04/12/20,-108,-21,31,66,110
Putnam County NY,36079,04/12/20,-39,-11,-2,8,20
Rockland County NY,36087,04/12/20,-468,-315,-247,-189,-120
Kings County NY,36047,04/13/20,-2206,-1389,-852,-556,-198
Queens County NY,36081,04/13/20,-2832,-1578,-1124,-744,-429
New York County NY,36061,04/13/20,-216,446,814,1154,1562
Bronx County NY,36005,04/13/20,-951,-403,-197,-13,127
Richmond County NY,36085,04/13/20,-289,-119,-33,37,100
Westchester County NY,36119,04/13/20,-1362,-764,-532,-292,-88
Bergen County NJ,34003,04/13/20,-470,-198,-35,81,198
Hudson County NJ,34017,04/13/20,-125,-51,-15,29,68
Passaic County NJ,34031,04/13/20,-128,-37,21,58,109
Putnam County NY,36079,04/13/20,-44,-18,-6,5,17
Rockland County NY,36087,04/13/20,-526,-354,-280,-216,-136
Kings County NY,36047,04/14/20,-2486,-1579,-998,-606,-270
Queens County NY,36081,04/14/20,-3096,-1735,-1248,-826,-457
New York County NY,36061,04/14/20,-344,311,722,1088,1522
Bronx County NY,36005,04/14/20,-1131,-531,-289,-73,78
Richmond County NY,36085,04/14/20,-323,-152,-57,23,102
Westchester County NY,36119,04/14/20,-1498,-882,-583,-360,-143
Bergen County NJ,34003,04/14/20,-613,-259,-84,74,177
Hudson County NJ,34017,04/14/20,-172,-66,-26,22,59
Passaic County NJ,34031,04/14/20,-152,-46,9,49,110
Putnam County NY,36079,04/14/20,-51,-23,-9,2,17
Rockland County NY,36087,04/14/20,-561,-388,-311,-243,-149
Kings County NY,36047,04/15/20,-2804,-1772,-1107,-672,-302
Queens County NY,36081,04/15/20,-3308,-1897,-1382,-946,-504
New York County NY,36061,04/15/20,-531,205,616,1020,1509
Bronx County NY,36005,04/15/20,-1321,-687,-369,-130,54
Richmond County NY,36085,04/15/20,-393,-186,-85,16,102
Westchester County NY,36119,04/15/20,-1659,-992,-627,-411,-188
Bergen County NJ,34003,04/15/20,-722,-316,-116,54,189
Hudson County NJ,34017,04/15/20,-207,-81,-36,16,55
Passaic County NJ,34031,04/15/20,-173,-63,1,46,111
Putnam County NY,36079,04/15/20,-74,-30,-15,-4,15
Rockland County NY,36087,04/15/20,-629,-434,-342,-266,-157
Kings County NY,36047,04/16/20,-3144,-1925,-1219,-764,-351
Queens County NY,36081,04/16/20,-3499,-2064,-1519,-1050,-539
New York County NY,36061,04/16/20,-750,89,528,951,1491
Bronx County NY,36005,04/16/20,-1480,-801,-449,-185,22
Richmond County NY,36085,04/16/20,-451,-209,-114,9,99
Westchester County NY,36119,04/16/20,-1811,-1056,-707,-475,-207
Bergen County NJ,34003,04/16/20,-879,-356,-167,30,197
Hudson County NJ,34017,04/16/20,-223,-101,-43,2,54
Passaic County NJ,34031,04/16/20,-218,-81,-13,38,112
Putnam County NY,36079,04/16/20,-73,-37,-18,-6,13
Rockland County NY,36087,04/16/20,-687,-479,-367,-283,-166
Kings County NY,36047,04/17/20,-3392,-2070,-1359,-805,-384
Queens County NY,36081,04/17/20,-3821,-2175,-1613,-1130,-583
New York County NY,36061,04/17/20,-917,-40,449,881,1507
Bronx County NY,36005,04/17/20,-1674,-903,-523,-258,-18
Richmond County NY,36085,04/17/20,-533,-234,-131,3,101
Westchester County NY,36119,04/17/20,-1933,-1138,-792,-534,-225
Bergen County NJ,34003,04/17/20,-997,-407,-216,11,208
Hudson County NJ,34017,04/17/20,-265,-118,-55,-5,44
Passaic County NJ,34031,04/17/20,-253,-94,-26,32,112
Putnam County NY,36079,04/17/20,-91,-43,-22,-9,8
Rockland County NY,36087,04/17/20,-731,-528,-400,-313,-181
Kings County NY,36047,04/18/20,-3663,-2225,-1457,-887,-425
Queens County NY,36081,04/18/20,-4151,-2335,-1706,-1222,-605
New York County NY,36061,04/18/20,-1085,-205,416,830,1517
Bronx County NY,36005,04/18/20,-1978,-1013,-601,-322,-29
Richmond County NY,36085,04/18/20,-608,-264,-152,-3,101
Westchester County NY,36119,04/18/20,-2021,-1218,-829,-576,-206
Bergen County NJ,34003,04/18/20,-1150,-463,-244,-4,193
Hudson County NJ,34017,04/18/20,-301,-145,-68,-16,36
Passaic County NJ,34031,04/18/20,-290,-113,-47,20,113
Putnam County NY,36079,04/18/20,-114,-50,-27,-12,6
Rockland County NY,36087,04/18/20,-784,-568,-439,-335,-181
Kings County NY,36047,04/19/20,-3939,-2341,-1565,-936,-448
Queens County NY,36081,04/19/20,-4390,-2514,-1809,-1309,-609
New York County NY,36061,04/19/20,-1257,-365,382,805,1505
Bronx County NY,36005,04/19/20,-2206,-1128,-661,-367,-36
Richmond County NY,36085,04/19/20,-706,-292,-174,-10,101
Westchester County NY,36119,04/19/20,-2099,-1313,-885,-594,-216
Bergen County NJ,34003,04/19/20,-1269,-514,-287,-37,176
Hudson County NJ,34017,04/19/20,-347,-163,-83,-21,31
Passaic County NJ,34031,04/19/20,-320,-132,-64,12,110
Putnam County NY,36079,04/19/20,-124,-56,-33,-15,5
Rockland County NY,36087,04/19/20,-846,-607,-471,-341,-181
Kings County NY,36047,04/20/20,-4193,-2358,-1602,-981,-472
Queens County NY,36081,04/20/20,-4565,-2684,-1879,-1397,-628
New York County NY,36061,04/20/20,-1458,-517,286,745,1491
Bronx County NY,36005,04/20/20,-2457,-1222,-699,-419,-37
Richmond County NY,36085,04/20/20,-765,-316,-189,-14,101
Westchester County NY,36119,04/20/20,-2132,-1398,-997,-616,-233
Bergen County NJ,34003,04/20/20,-1380,-556,-297,-46,151
Hudson County NJ,34017,04/20/20,-390,-184,-96,-28,27
Passaic County NJ,34031,04/20/20,-351,-139,-71,5,108
Putnam County NY,36079,04/20/20,-138,-58,-35,-21,5
Rockland County NY,36087,04/20/20,-915,-642,-500,-353,-191
Kings County NY,36047,04/21/20,-4428,-2449,-1616,-1013,-468
Queens County NY,36081,04/21/20,-4818,-2730,-1941,-1475,-621
New York County NY,36061,04/21/20,-1638,-625,269,719,1466
Bronx County NY,36005,04/21/20,-2668,-1292,-743,-443,-41
Richmond County NY,36085,04/21/20,-796,-332,-204,-30,100
Westchester County NY,36119,04/21/20,-2172,-1398,-1028,-641,-256
Bergen County NJ,34003,04/21/20,-1492,-604,-340,-61,144
Hudson County NJ,34017,04/21/20,-431,-200,-111,-39,33
Passaic County NJ,34031,04/21/20,-398,-164,-85,0,104
Putnam County NY,36079,04/21/20,-150,-64,-41,-21,7
Rockland County NY,36087,04/21/20,-969,-666,-508,-363,-186
Kings County NY,36047,04/22/20,-4721,-2529,-1666,-1027,-443
Queens County NY,36081,04/22/20,-5060,-2799,-2003,-1498,-610
New York County NY,36061,04/22/20,-1791,-728,240,715,1460
Bronx County NY,36005,04/22/20,-2803,-1392,-793,-466,-39
Richmond County NY,36085,04/22/20,-835,-365,-210,-31,104
Westchester County NY,36119,04/22/20,-2184,-1447,-1055,-640,-235
Bergen County NJ,34003,04/22/20,-1662,-625,-349,-78,128
