county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/12/20,-2718,-1702,-1048,-706,-298
Queens County NY,36081,04/12/20,-3333,-1860,-1243,-931,-533
New York County NY,36061,04/12/20,-405,211,646,1010,1455
Bronx County NY,36005,04/12/20,-1437,-625,-344,-124,93
Richmond County NY,36085,04/12/20,-396,-174,-87,13,82
Westchester County NY,36119,04/12/20,-1658,-975,-638,-370,-156
Bergen County NJ,34003,04/12/20,-607,-290,-125,40,164
Hudson County NJ,34017,04/12/20,-180,-81,-41,10,53
Passaic County NJ,34031,04/12/20,-192,-65,-3,45,94
Putnam County NY,36079,04/12/20,-71,-25,-12,0,13
Rockland County NY,36087,04/12/20,-620,-426,-327,-256,-138
Kings County NY,36047,04/13/20,-3293,-1970,-1266,-843,-373
Queens County NY,36081,04/13/20,-3638,-2158,-1493,-1122,-644
New York County NY,36061,04/13/20,-717,-40,496,906,1429
Bronx County NY,36005,04/13/20,-1750,-819,-481,-233,20
Richmond County NY,36085,04/13/20,-545,-229,-127,-7,91
Westchester County NY,36119,04/13/20,-1894,-1141,-766,-492,-222
Bergen County NJ,34003,04/13/20,-805,-390,-202,14,154
Hudson County NJ,34017,04/13/20,-230,-114,-65,-8,40
Passaic County NJ,34031,04/13/20,-245,-97,-23,28,94
Putnam County NY,36079,04/13/20,-93,-38,-19,-7,8
Rockland County NY,36087,04/13/20,-691,-494,-376,-292,-158
Kings County NY,36047,04/14/20,-4023,-2335,-1527,-1002,-500
Queens County NY,36081,04/14/20,-4403,-2500,-1769,-1354,-723
New York County NY,36061,04/14/20,-1110,-312,323,772,1393
Bronx County NY,36005,04/14/20,-2073,-1064,-638,-353,-25
Richmond County NY,36085,04/14/20,-670,-293,-173,-31,84
Westchester County NY,36119,04/14/20,-2112,-1308,-917,-602,-301
Bergen County NJ,34003,04/14/20,-1026,-509,-277,-41,152
Hudson County NJ,34017,04/14/20,-303,-154,-92,-22,31
Passaic County NJ,34031,04/14/20,-348,-131,-58,6,94
Putnam County NY,36079,04/14/20,-120,-48,-27,-13,2
Rockland County NY,36087,04/14/20,-769,-580,-439,-340,-177
Kings County NY,36047,04/15/20,-4714,-2749,-1797,-1146,-602
Queens County NY,36081,04/15/20,-5031,-2873,-2049,-1580,-794
New York County NY,36061,04/15/20,-1579,-633,142,590,1392
Bronx County NY,36005,04/15/20,-2522,-1299,-810,-483,-81
Richmond County NY,36085,04/15/20,-785,-370,-223,-55,74
Westchester County NY,36119,04/15/20,-2341,-1546,-1048,-727,-358
Bergen County NJ,34003,04/15/20,-1269,-651,-362,-86,119
Hudson County NJ,34017,04/15/20,-406,-203,-121,-46,16
Passaic County NJ,34031,04/15/20,-431,-174,-80,-14,93
Putnam County NY,36079,04/15/20,-149,-61,-38,-20,-5
Rockland County NY,36087,04/15/20,-915,-665,-506,-385,-198
Kings County NY,36047,04/16/20,-5575,-3134,-2085,-1378,-734
Queens County NY,36081,04/16/20,-5885,-3329,-2400,-1825,-892
New York County NY,36061,04/16/20,-2113,-1019,-96,475,1343
Bronx County NY,36005,04/16/20,-2970,-1599,-992,-622,-148
Richmond County NY,36085,04/16/20,-927,-445,-294,-96,61
Westchester County NY,36119,04/16/20,-2663,-1782,-1269,-853,-447
Bergen County NJ,34003,04/16/20,-1547,-840,-450,-149,99
Hudson County NJ,34017,04/16/20,-523,-269,-154,-71,8
Passaic County NJ,34031,04/16/20,-517,-220,-113,-32,95
Putnam County NY,36079,04/16/20,-181,-73,-48,-27,-7
Rockland County NY,36087,04/16/20,-1021,-764,-574,-439,-224
Kings County NY,36047,04/17/20,-6402,-3535,-2318,-1624,-863
Queens County NY,36081,04/17/20,-6785,-3853,-2721,-2040,-1011
New York County NY,36061,04/17/20,-2742,-1431,-334,272,1286
Bronx County NY,36005,04/17/20,-3525,-1934,-1220,-793,-190
Richmond County NY,36085,04/17/20,-1091,-544,-355,-128,43
Westchester County NY,36119,04/17/20,-2942,-2040,-1474,-1004,-497
Bergen County NJ,34003,04/17/20,-1881,-1039,-580,-214,32
Hudson County NJ,34017,04/17/20,-622,-341,-206,-94,-7
Passaic County NJ,34031,04/17/20,-654,-280,-162,-58,85
Putnam County NY,36079,04/17/20,-207,-90,-59,-36,-11
Rockland County NY,36087,04/17/20,-1138,-851,-655,-484,-244
Kings County NY,36047,04/18/20,-7336,-4078,-2595,-1818,-1005
Queens County NY,36081,04/18/20,-7776,-4323,-3067,-2288,-1120
New York County NY,36061,04/18/20,-3457,-1895,-541,85,1197
Bronx County NY,36005,04/18/20,-4149,-2315,-1459,-957,-243
Richmond County NY,36085,04/18/20,-1236,-657,-425,-158,31
Westchester County NY,36119,04/18/20,-3211,-2275,-1634,-1133,-533
Bergen County NJ,34003,04/18/20,-2279,-1214,-712,-292,-3
Hudson County NJ,34017,04/18/20,-755,-419,-259,-125,-19
Passaic County NJ,34031,04/18/20,-811,-357,-215,-95,76
Putnam County NY,36079,04/18/20,-247,-107,-72,-46,-13
Rockland County NY,36087,04/18/20,-1285,-949,-732,-526,-258
Kings County NY,36047,04/19/20,-8377,-4558,-2929,-2021,-1119
Queens County NY,36081,04/19/20,-8853,-4908,-3478,-2540,-1167
New York County NY,36061,04/19/20,-4199,-2376,-883,-85,1123
Bronx County NY,36005,04/19/20,-4744,-2702,-1695,-1118,-279
Richmond County NY,36085,04/19/20,-1416,-780,-488,-199,10
Westchester County NY,36119,04/19/20,-3490,-2506,-1853,-1237,-574
Bergen County NJ,34003,04/19/20,-2735,-1445,-822,-371,-44
Hudson County NJ,34017,04/19/20,-891,-525,-316,-164,-46
Passaic County NJ,34031,04/19/20,-1011,-433,-265,-127,63
Putnam County NY,36079,04/19/20,-296,-130,-90,-58,-18
Rockland County NY,36087,04/19/20,-1414,-1058,-813,-574,-283
Kings County NY,36047,04/20/20,-9352,-4976,-3259,-2253,-1215
Queens County NY,36081,04/20/20,-9900,-5522,-3952,-2898,-1227
New York County NY,36061,04/20/20,-4998,-2900,-1312,-249,1040
Bronx County NY,36005,04/20/20,-5396,-3113,-1921,-1298,-348
Richmond County NY,36085,04/20/20,-1635,-921,-573,-249,5
Westchester County NY,36119,04/20/20,-3776,-2697,-2076,-1349,-601
Bergen County NJ,34003,04/20/20,-3173,-1705,-951,-464,-105
Hudson County NJ,34017,04/20/20,-1093,-625,-381,-199,-65
Passaic County NJ,34031,04/20/20,-1172,-527,-313,-151,45
Putnam County NY,36079,04/20/20,-336,-155,-106,-70,-18
Rockland County NY,36087,04/20/20,-1564,-1169,-900,-623,-289
Kings County NY,36047,04/21/20,-10497,-5484,-3622,-2584,-1194
Queens County NY,36081,04/21/20,-10823,-6023,-4437,-3218,-1297
New York County NY,36061,04/21/20,-5797,-3370,-1675,-488,955
Bronx County NY,36005,04/21/20,-6012,-3552,-2200,-1485,-399
Richmond County NY,36085,04/21/20,-1912,-1070,-666,-312,-23
Westchester County NY,36119,04/21/20,-4006,-2960,-2219,-1470,-604
Bergen County NJ,34003,04/21/20,-3650,-1988,-1165,-570,-143
Hudson County NJ,34017,04/21/20,-1300,-758,-441,-264,-73
Passaic County NJ,34031,04/21/20,-1336,-625,-377,-202,29
Putnam County NY,36079,04/21/20,-393,-180,-127,-84,-22
Rockland County NY,36087,04/21/20,-1713,-1286,-991,-682,-320
Kings County NY,36047,04/22/20,-11596,-6122,-3987,-2884,-1243
Queens County NY,36081,04/22/20,-11835,-6634,-4948,-3541,-1417
New York County NY,36061,04/22/20,-6448,-3812,-2099,-691,828
Bronx County NY,36005,04/22/20,-6585,-3986,-2490,-1734,-467
Richmond County NY,36085,04/22/20,-2136,-1221,-786,-380,-60
Westchester County NY,36119,04/22/20,-4228,-3203,-2410,-1597,-613
Bergen County NJ,34003,04/22/20,-4072,-2342,-1398,-672,-202
Hudson County NJ,34017,04/22/20,-1543,-890,-512,-346,-71
Passaic County NJ,34031,04/22/20,-1519,-738,-442,-251,12
Putnam County NY,36079,04/22/20,-438,-207,-149,-103,-29
Rockland County NY,36087,04/22/20,-1820,-1377,-1079,-732,-351
Kings County NY,36047,04/23/20,-12587,-6853,-4292,-3185,-1364
Queens County NY,36081,04/23/20,-12519,-7323,-5393,-3851,-1478
New York County NY,36061,04/23/20,-7334,-4196,-2440,-964,705
Bronx County NY,36005,04/23/20,-7196,-4428,-2773,-1895,-519
Richmond County NY,36085,04/23/20,-2370,-1364,-893,-453,-81
Westchester County NY,36119,04/23/20,-4518,-3433,-2536,-1667,-630
Bergen County NJ,34003,04/23/20,-4553,-2679,-1588,-809,-239
Hudson County NJ,34017,04/23/20,-1789,-1024,-609,-404,-106
Passaic County NJ,34031,04/23/20,-1701,-848,-526,-308,8
Putnam County NY,36079,04/23/20,-487,-240,-168,-120,-47
Rockland County NY,36087,04/23/20,-1930,-1484,-1170,-792,-370
Kings County NY,36047,04/24/20,-13453,-7422,-4699,-3441,-1530
Queens County NY,36081,04/24/20,-13338,-7979,-5904,-4273,-1518
New York County NY,36061,04/24/20,-8138,-4555,-2860,-1283,508
Bronx County NY,36005,04/24/20,-7685,-4871,-3092,-2095,-542
Richmond County NY,36085,04/24/20,-2574,-1534,-1010,-530,-118
Westchester County NY,36119,04/24/20,-4827,-3665,-2633,-1747,-646
Bergen County NJ,34003,04/24/20,-4969,-2964,-1777,-917,-290
Hudson County NJ,34017,04/24/20,-2103,-1215,-711,-472,-136
Passaic County NJ,34031,04/24/20,-1943,-973,-608,-350,16
Putnam County NY,36079,04/24/20,-528,-268,-192,-143,-51
Rockland County NY,36087,04/24/20,-2009,-1569,-1241,-851,-369
Kings County NY,36047,04/25/20,-14048,-7908,-5216,-3726,-1669
Queens County NY,36081,04/25/20,-13885,-8720,-6382,-4628,-1548
New York County NY,36061,04/25/20,-8732,-5037,-3302,-1576,418
Bronx County NY,36005,04/25/20,-8123,-5286,-3443,-2317,-581
Richmond County NY,36085,04/25/20,-2751,-1695,-1141,-610,-145
Westchester County NY,36119,04/25/20,-5194,-3843,-2737,-1861,-693
Bergen County NJ,34003,04/25/20,-5335,-3265,-1992,-1040,-333
Hudson County NJ,34017,04/25/20,-2335,-1390,-826,-557,-174
Passaic County NJ,34031,04/25/20,-2134,-1121,-732,-389,12
Putnam County NY,36079,04/25/20,-547,-293,-220,-155,-56
Rockland County NY,36087,04/25/20,-2103,-1640,-1316,-911,-353
Kings County NY,36047,04/26/20,-14492,-8342,-5775,-4037,-1845
Queens County NY,36081,04/26/20,-14421,-9410,-6856,-4982,-1611
New York County NY,36061,04/26/20,-9277,-5422,-3754,-1816,367
Bronx County NY,36005,04/26/20,-8376,-5687,-3690,-2548,-633
Richmond County NY,36085,04/26/20,-2898,-1861,-1232,-730,-179
Westchester County NY,36119,04/26/20,-5403,-4014,-2896,-1922,-664
Bergen County NJ,34003,04/26/20,-5630,-3573,-2233,-1167,-385
Hudson County NJ,34017,04/26/20,-2585,-1586,-953,-658,-203
Passaic County NJ,34031,04/26/20,-2324,-1265,-838,-464,-9
Putnam County NY,36079,04/26/20,-571,-322,-242,-173,-55
Rockland County NY,36087,04/26/20,-2187,-1698,-1384,-967,-357
Kings County NY,36047,04/27/20,-14706,-8913,-6204,-4295,-1977
Queens County NY,36081,04/27/20,-14688,-10033,-7266,-5325,-1653
New York County NY,36061,04/27/20,-9726,-5843,-4051,-2055,340
Bronx County NY,36005,04/27/20,-8672,-6011,-3970,-2771,-707
Richmond County NY,36085,04/27/20,-3014,-1996,-1366,-817,-225
Westchester County NY,36119,04/27/20,-5525,-4219,-3084,-2041,-669
Bergen County NJ,34003,04/27/20,-5818,-3875,-2465,-1330,-449
Hudson County NJ,34017,04/27/20,-2843,-1768,-1087,-766,-232
Passaic County NJ,34031,04/27/20,-2521,-1425,-979,-542,-34
Putnam County NY,36079,04/27/20,-621,-344,-269,-188,-56
Rockland County NY,36087,04/27/20,-2221,-1752,-1424,-1038,-354
Kings County NY,36047,04/28/20,-14822,-9473,-6715,-4564,-2054
Queens County NY,36081,04/28/20,-15036,-10571,-7822,-5655,-1742
New York County NY,36061,04/28/20,-10038,-6305,-4471,-2266,317
Bronx County NY,36005,04/28/20,-8723,-6359,-4300,-3025,-747
Richmond County NY,36085,04/28/20,-3055,-2124,-1461,-931,-265
Westchester County NY,36119,04/28/20,-5666,-4352,-3218,-2128,-759
Bergen County NJ,34003,04/28/20,-5975,-4163,-2782,-1512,-477
Hudson County NJ,34017,04/28/20,-3012,-1956,-1237,-864,-249
Passaic County NJ,34031,04/28/20,-2726,-1591,-1128,-613,-66
Putnam County NY,36079,04/28/20,-631,-377,-295,-211,-50
Rockland County NY,36087,04/28/20,-2242,-1781,-1472,-1073,-362
Kings County NY,36047,04/29/20,-15122,-10051,-7183,-4870,-2160
Queens County NY,36081,04/29/20,-15027,-11084,-8264,-5971,-1790
New York County NY,36061,04/29/20,-10379,-6641,-4821,-2517,221
Bronx County NY,36005,04/29/20,-8705,-6656,-4581,-3268,-774
Richmond County NY,36085,04/29/20,-3108,-2275,-1579,-1039,-304
Westchester County NY,36119,04/29/20,-5656,-4445,-3368,-2219,-812
Bergen County NJ,34003,04/29/20,-6252,-4450,-3102,-1647,-511
Hudson County NJ,34017,04/29/20,-3238,-2155,-1388,-981,-282
Passaic County NJ,34031,04/29/20,-2917,-1773,-1254,-693,-90
Putnam County NY,36079,04/29/20,-652,-404,-317,-230,-52
Rockland County NY,36087,04/29/20,-2143,-1815,-1479,-1111,-389
Kings County NY,36047,04/30/20,-15361,-10507,-7460,-5130,-2285
Queens County NY,36081,04/30/20,-15035,-11544,-8659,-6296,-1845
New York County NY,36061,04/30/20,-10507,-7086,-5214,-2837,135
Bronx County NY,36005,04/30/20,-8520,-6826,-4863,-3451,-861
Richmond County NY,36085,04/30/20,-3070,-2368,-1714,-1122,-326
Westchester County NY,36119,04/30/20,-5654,-4466,-3493,-2272,-875
Bergen County NJ,34003,04/30/20,-6311,-4692,-3397,-1801,-572
Hudson County NJ,34017,04/30/20,-3458,-2342,-1537,-1094,-314
Passaic County NJ,34031,04/30/20,-3044,-1938,-1340,-752,-101
